User0.0,32526,21,81,75,63,61,65,72,69,74,13,0,0,0,0,0,0,0,0
User0.0,32626,13,79,73,64,65,66,73,71,73,113,0,0,0,0,0,0,0,0
User0.0,32726,20,76,73,64,63,64,72,69,73,213,0,0,0,0,0,0,0,0
User0.0,32826,84,13,71,63,61,63,70,69,72,0,43,0,0,0,0,0,0,0
User0.0,32926,86,14,72,63,61,65,73,73,76,0,143,0,0,0,0,0,0,0
User0.0,33026,83,78,17,63,61,63,71,72,76,0,0,23,0,0,0,0,0,0
User0.0,33226,84,79,75,11,60,64,75,74,102,0,0,0,63,0,0,0,0,0
User0.0,33326,81,79,75,64,13,65,74,72,102,0,0,0,0,23,0,0,0,0
User0.0,33526,86,79,75,63,61,63,30,71,102,0,0,0,0,0,0,3,0,0
User0.0,33626,88,81,75,64,62,64,21,70,102,0,0,0,0,0,0,103,0,0
User0.0,33726,83,79,76,64,61,64,73,13,102,0,0,0,0,0,0,0,63,0
User0.1,40726,13,77,72,63,64,65,69,71,102,53,0,0,0,0,0,0,0,0
User0.1,40826,11,77,74,62,60,64,73,73,101,153,0,0,0,0,0,0,0,0
User0.1,40926,83,12,75,63,62,64,74,74,101,0,3,0,0,0,0,0,0,0
User0.1,41026,84,13,76,63,62,64,77,74,101,0,103,0,0,0,0,0,0,0
User0.1,41126,86,80,13,62,61,66,78,75,101,0,0,33,0,0,0,0,0,0
User0.1,41226,84,80,75,26,61,64,74,74,101,0,0,0,23,0,0,0,0,0
User0.1,41426,85,80,76,65,13,65,73,71,101,0,0,0,0,83,0,0,0,0
User0.1,41526,83,78,74,63,61,10,73,71,101,0,0,0,0,0,43,0,0,0
User0.1,41626,86,80,75,63,62,64,12,71,101,0,0,0,0,0,0,13,0,0
User0.1,41826,87,81,73,63,63,66,71,13,101,0,0,0,0,0,0,0,43,0
User0.2,45026,12,80,76,63,61,64,73,71,101,63,0,0,0,0,0,0,0,0
User0.2,45126,13,81,75,62,60,63,72,72,101,163,0,0,0,0,0,0,0,0
User0.2,45226,84,19,77,62,60,64,71,71,101,0,13,0,0,0,0,0,0,0
User0.2,45326,84,15,75,62,62,64,73,74,101,0,113,0,0,0,0,0,0,0
User0.2,45426,83,78,19,62,60,64,83,83,101,0,0,23,0,0,0,0,0,0
User0.2,45526,83,79,24,62,62,65,75,74,101,0,0,123,0,0,0,0,0,0
User0.2,45626,86,81,73,12,60,63,72,70,101,0,0,0,53,0,0,0,0,0
